modified	created
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1988	1986
1986	1986
1986	1986
1994	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
2004	1986
2004	1986
2006	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
2004	1986
1986	1986
2004	1986
2004	1986
1986	1986
2002	1986
1986	1986
1986	1986
1997	1986
1986	1986
2009	1986
1992	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1992	1986
1986	1986
1986	1986
1986	1986
2008	1986
2004	1986
1986	1986
2003	1986
2004	1986
1986	1986
1986	1986
1986	1986
1997	1986
2004	1986
1986	1986
1986	1986
2004	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
2004	1986
2004	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
2008	1986
2004	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
2008	1986
1986	1986
1986	1986
1986	1986
2004	1986
2001	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
2004	1986
1998	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1996	1986
1986	1986
1986	1986
2008	1986
2008	1986
1994	1986
1986	1986
1994	1986
1986	1986
2006	1986
1986	1986
1986	1986
1986	1986
1996	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1988	1986
1988	1986
1986	1986
2013	1986
1986	1986
1986	1986
1991	1986
1986	1986
1986	1986
1986	1986
1986	1986
2007	1986
1992	1986
2007	1986
1986	1986
2002	1986
2012	1986
2002	1986
1990	1986
2007	1986
1986	1986
1986	1986
1986	1986
1986	1986
1994	1986
2002	1986
1986	1986
2002	1986
1986	1986
1986	1986
1986	1986
1986	1986
1986	1986
1993	1986
2002	1986
1986	1986
1997	1986
2002	1986
1986	1986
2002	1986
1993	1986
2007	1986
1995	1986
2013	1986
1986	1986
1986	1986
1990	1986
1993	1986
1986	1986
1986	1986
1986	1986
1993	1986
1998	1986
1986	1986
1986	1986
1986	1986
1998	1986
1986	1986
2004	1986
1998	1986
1986	1986
1986	1986
2017	1986
1987	1987
2011	1987
1994	1987
1987	1987
1987	1987
1988	1988
1988	1988
1991	1988
1988	1988
1988	1988
1988	1988
1998	1988
2004	1988
2004	1988
1997	1988
1988	1988
2015	1988
2002	1988
1988	1988
1988	1988
1988	1988
1988	1988
2004	1988
1988	1988
1988	1988
1998	1988
2004	1989
1989	1989
1989	1989
2004	1989
1989	1989
2004	1989
2004	1989
1989	1989
1989	1989
1989	1989
1989	1989
1989	1989
1989	1989
1989	1989
1989	1989
2015	1989
1989	1989
1989	1989
1989	1989
1994	1989
1989	1989
1989	1989
1989	1989
1989	1989
1989	1989
1990	1990
1990	1990
1990	1990
2003	1990
1990	1990
1990	1990
1990	1990
1990	1990
1990	1990
2007	1990
1990	1990
1990	1990
1994	1990
1996	1990
1990	1990
2004	1990
1990	1990
2009	1990
1990	1990
1990	1990
1990	1990
2003	1990
1990	1990
2002	1990
1990	1990
1990	1990
1990	1990
1994	1990
1990	1990
1998	1990
1990	1990
1993	1990
1990	1990
1990	1990
1990	1990
1990	1990
1990	1990
1990	1990
1997	1990
1990	1990
1990	1990
1990	1990
1996	1990
1992	1990
1990	1990
1990	1990
1992	1990
2004	1990
2004	1990
1990	1990
1994	1990
1990	1990
1990	1990
1990	1990
1990	1990
1990	1990
1990	1990
1990	1990
1991	1990
1990	1990
1990	1990
1990	1990
2002	1990
1990	1990
1990	1990
1990	1990
1990	1990
2003	1990
2014	1990
1990	1990
1990	1990
2015	1990
1991	1991
1991	1991
1991	1991
2007	1991
1991	1991
2008	1991
1991	1991
1991	1991
1991	1991
2003	1991
2002	1991
1994	1991
2004	1991
1991	1991
1991	1991
1991	1991
1991	1991
1991	1991
1991	1991
1991	1991
1991	1991
1991	1991
1991	1991
1993	1991
1993	1991
1991	1991
1991	1991
1994	1991
2013	1991
1991	1991
2002	1991
2012	1991
2012	1991
1993	1991
1991	1991
1998	1991
1998	1991
1991	1991
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
2010	1992
1994	1992
1995	1992
1992	1992
1992	1992
1992	1992
2013	1992
1992	1992
1992	1992
1992	1992
1992	1992
2008	1992
1992	1992
1992	1992
2011	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
2001	1992
2002	1992
1992	1992
1992	1992
2009	1992
1992	1992
1992	1992
1992	1992
1992	1992
1998	1992
2005	1992
2005	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
1992	1992
2006	1992
2001	1992
2001	1992
1992	1992
1997	1992
1994	1992
1992	1992
1994	1993
1994	1993
1993	1993
1999	1993
1993	1993
2002	1993
1993	1993
1994	1993
1993	1993
1993	1993
1993	1993
1994	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
2012	1993
1993	1993
1993	1993
2012	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
1993	1993
2008	1993
1993	1993
1993	1993
2004	1994
1994	1994
1994	1994
1994	1994
1994	1994
2002	1994
1994	1994
1994	1994
1994	1994
1994	1994
1994	1994
1994	1994
1997	1994
2001	1994
1994	1994
1996	1994
1997	1994
1994	1994
1994	1994
1994	1994
1994	1994
1994	1994
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
2011	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
2003	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
2003	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
1995	1995
1998	1995
1995	1995
1995	1995
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
2004	1996
2010	1996
2004	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
1996	1996
2004	1996
1996	1996
1996	1997
2003	1997
1997	1997
2000	1997
1997	1997
1997	1997
1997	1997
2001	1997
1997	1997
1997	1997
2004	1997
1996	1997
1997	1997
1997	1997
1997	1997
1997	1997
1996	1997
2004	1997
1997	1997
1998	1997
1997	1997
1997	1997
2002	1997
2002	1997
1997	1997
1997	1997
1997	1997
1997	1997
1997	1997
1997	1997
1997	1997
1997	1997
1997	1997
2006	1998
1998	1998
2003	1998
2007	1998
1998	1998
1998	1998
1998	1998
1998	1998
2011	1998
1998	1998
1998	1998
1998	1998
1998	1998
1998	1998
2011	1998
1998	1998
1998	1998
2009	1998
2010	1998
2010	1998
1998	1998
2006	1998
2002	1998
1996	1998
1998	1998
2011	1998
1998	1998
1998	1998
1998	1998
1997	1998
2002	1998
1998	1998
1998	1998
1998	1998
1996	1998
1998	1998
1998	1998
1998	1998
1998	1998
1998	1998
1998	1998
1998	1998
1998	1998
1998	1998
1999	1999
1998	1999
1999	1999
1999	1999
1999	1999
1999	1999
1999	1999
1999	1999
1999	1999
